time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
16.905, 2.663, 0.406, 0.937
16.938, 3.647, 0.637, 1.537
16.969, 4.548, 0.02, 1.161
17.0, 4.699, -0.116, 1.215
17.034, 2.971, 0.365, 1.416
17.065, 1.764, 0.383, 1.149
17.098, 1.161, 0.084, 1.092
17.136, -0.319, 1.317, 1.98
17.168, -5.319, 2.401, 1.568
17.199, -3.893, 1.06, 3.338
17.232, -5.068, -3.678, -5.344
17.266, 2.265, 1.303, -2.204
17.3, 0.502, 2.153, -3.081
17.335, -1.077, 0.063, -3.081
17.363, -1.371, -1.939, -1.849
17.392, -0.909, -1.341, -0.659
17.421, -0.077, -0.808, 0.374
17.449, 2.125, -0.017, 1.127
17.479, 3.539, -0.304, 0.894
17.508, 3.413, -0.16, 1.19
17.537, 3.205, 0.529, 1.387
17.564, 2.31, 0.249, 1.178
17.592, 1.068, 0.16, 0.894
17.619, 0.49, 0.337, 1.37
17.65, 1.251, 1.58, 3.303
17.679, 1.019, 0.258, 3.126
17.707, -2.235, -1.065, 0.847
17.735, -3.756, -0.816, -0.655
17.766, -2.717, 4.237, -4.039
17.795, -2.653, -5.773, -2.579
17.823, -0.434, -6.951, -5.376
17.853, 1.556, 1.514, -3.552
17.883, -1.66, 2.561, -0.1
17.91, -1.229, -2.04, -0.568
17.939, 0.184, -0.451, -0.263
17.969, 3.416, 1.172, 1.604
18.0, 2.194, 0.716, 1.688
18.028, 4.522, 0.507, 1.434
18.057, 5.148, 1.324, 1.448
18.085, 2.021, 1.985, 1.566
18.116, 2.517, 0.722, 1.444
18.144, 2.052, -0.103, 1.031
18.17, 1.027, 0.182, 1.973
18.2, -0.915, 1.175, 2.128
18.226, -5.169, 2.999, 1.941
18.256, -7.036, 3.065, 1.986
18.287, -5.666, 1.279, -0.336
18.316, -5.885, -1.807, -6.438
18.349, -0.681, -3.237, -2.144
18.379, 2.801, 2.188, 0.158
18.407, -0.65, -4.65, -3.54
18.436, -2.48, -4.536, -3.635
18.463, 1.5, -1.962, -1.552
18.492, 0.817, -0.506, -0.792
18.522, -0.003, -0.68, 0.529
18.551, 1.326, -0.703, 0.758
18.58, 2.929, -0.508, 0.922
18.608, 4.493, -0.368, 1.325
18.64, 4.344, -0.369, 1.594
18.669, 2.16, -1.122, 1.871
18.698, 1.096, -1.462, 1.675
18.725, 2.066, -0.675, 1.367
18.756, 1.73, -0.443, 1.72
18.784, 0.738, -0.814, 1.946
18.813, -0.577, -1.801, 1.513
18.842, -2.439, -2.343, 1.143
18.873, -2.933, -0.298, 2.866
18.902, -4.427, 4.829, -3.369
18.929, -2.981, 2.966, -2.384
18.959, -0.675, -2.38, -3.698
18.989, 0.336, -1.143, -4.473
19.017, -0.849, -2.531, -2.128
19.046, -1.664, 1.905, 0.01
19.077, -0.741, 1.274, 0.273
19.107, 1.846, 0.616, 0.386
19.135, 3.43, 0.476, 0.647
19.166, 3.672, -0.01, 0.815
19.194, 4.064, -0.4, 0.627
19.224, 3.378, -0.741, 0.873
19.252, 2.682, 0.132, 0.798
19.28, 1.882, 0.608, 0.851
19.309, 0.644, -0.429, 2.088
19.34, 0.03, -0.26, 1.951
19.369, -3.267, 1.126, 1.953
19.399, -5.062, 1.065, 1.227
19.427, -6.324, -0.013, -4.566
19.459, -4.277, -3.681, -3.398
19.486, 1.734, 0.344, -0.721
19.515, 1.233, 2.468, -2.079
19.546, -0.927, -0.368, -1.892
19.574, -1.359, -2.124, -1.785
19.603, -0.077, -2.228, -0.449
19.63, 2.421, -0.882, 0.518
19.662, 2.965, -0.933, 0.811
19.688, 2.874, -1.229, 0.793
19.715, 3.163, -0.842, 1.054
19.744, 3.05, -0.165, 1.289
19.771, 2.096, -0.477, 1.332
19.797, 0.778, -0.479, 1.458
19.826, 0.169, 0.058, 2.328
19.854, 0.629, -0.412, 2.74
19.883, -1.724, -2.321, 1.973
19.913, -3.208, -1.119, 2.484
19.941, -3.542, 1.683, -0.043
19.969, -2.211, -2.562, -3.042
19.999, -1.151, -5.878, -4.374
20.03, -0.048, -2.608, -3.857
20.058, -1.422, 1.689, -1.98
20.085, -1.409, 2.059, -0.274
20.116, -0.479, 0.612, 0.2
20.145, 2.424, 0.69, 0.914
20.172, 3.923, 0.265, 0.788
20.202, 4.861, -0.359, 1.024
20.232, 4.858, 0.02, 1.274
20.259, 3.455, -0.281, 1.46
20.289, 2.175, 0.416, 1.453
20.322, 1.345, 0.847, 1.626
20.353, 0.172, 0.571, 2.104
20.382, -2.993, 1.54, 1.957
20.408, -5.023, 1.991, 0.814
20.436, -3.899, 0.696, 1.809
20.463, -5.868, -4.265, -5.939
20.49, -1.892, -1.456, -3.261
20.518, 2.65, 0.187, -0.286
20.55, -0.521, 3.446, -1.91
20.576, -1.279, -1.665, -2.535
20.609, -1.268, -3.001, -0.783
20.636, 0.377, -1.984, -0.475
20.665, 3.029, -0.78, 0.232
